time,group,activity
baseline,shi.25B,0.4478260869565215
baseline,shi.25B,0.4264214046822748
baseline,shi.25B,0.5057599405425497
ethanol,shi.25B,0.5073825503355706
ethanol,shi.25B,0.7106636838180443
ethanol,shi.25B,0.61979865771812
ethanol,shi.25B,0.6316181953765827
ethanol,shi.25B,0.7345637583892616
ethanol,shi.25B,0.7513422818791948
ethanol,shi.25B,0.4973154362416104
ethanol,shi.25B,0.7257909875359551
ethanol,shi.25B,0.722818791946309
ethanol,shi.25B,0.6775167785234898
ethanol,shi.25B,0.7097315436241594
ethanol,shi.25B,0.5775167785234899
ethanol,shi.25B,0.6875838926174491
ethanol,shi.25B,0.6761744966442934
ethanol,shi.25B,0.5976510067114079
ethanol,shi.25B,0.6029082774049217
recovery,shi.25B,0.5664429530201341
recovery,shi.25B,0.5525727069351214
recovery,shi.25B,0.36006711409395925
recovery,shi.25B,0.3777032065622672
recovery,shi.25B,0.704026845637583
recovery,shi.25B,0.6604026845637563
recovery,shi.25B,0.2768456375838923
recovery,shi.25B,0.6687440076701829
recovery,shi.25B,0.5140939597315431
recovery,shi.25B,0.4869127516778522
recovery,shi.25B,0.7335570469798666
recovery,shi.25B,0.4107382550335572
recovery,shi.25B,0.5916107382550333
recovery,shi.25B,0.4563758389261741
recovery,shi.25B,0.5342281879194626
recovery,shi.25B,0.5525727069351218
baseline,yw.shi25B,0.012263099219620963
baseline,yw.shi25B,0.02408026755852841
baseline,yw.shi25B,0.08494983277591987
baseline,yw.shi25B,0.07826086956521737
baseline,yw.shi25B,0.1923076923076929
baseline,yw.shi25B,0.18628762541806093
baseline,yw.shi25B,0.03545150501672239
baseline,yw.shi25B,0.03277591973244145
baseline,yw.shi25B,0.0862876254180604
baseline,yw.shi25B,0.022408026755852826
baseline,yw.shi25B,0.007357859531772577
baseline,yw.shi25B,0.2331103678929763
baseline,yw.shi25B,0.3070234113712371
baseline,yw.shi25B,0.3826086956521737
baseline,yw.shi25B,0.298996655518395
baseline,yw.shi25B,0.3926421404682279
ethanol,yw.shi25B,0.5689783743475006
ethanol,yw.shi25B,0.6315436241610732
ethanol,yw.shi25B,0.6939597315436246
ethanol,yw.shi25B,0.7241610738255029
ethanol,yw.shi25B,0.647651006711409
ethanol,yw.shi25B,0.7177852348993282
ethanol,yw.shi25B,0.7976510067114109
ethanol,yw.shi25B,0.7610738255033569
ethanol,yw.shi25B,0.7214765100671148
ethanol,yw.shi25B,0.7778523489932905
ethanol,yw.shi25B,0.6036912751677852
ethanol,yw.shi25B,0.6080536912751675
ethanol,yw.shi25B,0.756040268456375
ethanol,yw.shi25B,0.6590604026845629
ethanol,yw.shi25B,0.6560402684563746
ethanol,yw.shi25B,0.653020134228188
recovery,yw.shi25B,0.4813571961222974
recovery,yw.shi25B,0.501006711409396
recovery,yw.shi25B,0.6845637583892614
recovery,yw.shi25B,0.6805369127516779
recovery,yw.shi25B,0.2812080536912754
recovery,yw.shi25B,0.6651006711409377
recovery,yw.shi25B,0.7322147651006717
recovery,yw.shi25B,0.714765100671141
recovery,yw.shi25B,0.6869127516778523
recovery,yw.shi25B,0.5342281879194629
recovery,yw.shi25B,0.6171140939597305
recovery,yw.shi25B,0.5298657718120802
recovery,yw.shi25B,0.6714765100671131
recovery,yw.shi25B,0.6604026845637574
recovery,yw.shi25B,0.5651006711409391
recovery,yw.shi25B,0.7402684563758392
