Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(410, 420]",0.7889634601043966,0.772147651006712,0.8083892617449675,0.7419463087248326,0.8227424749163894,0.7615384615384616,0.7441471571906352,0.5782237086584902
"(420, 430]",0.7554064131245308,0.8046979865771825,0.6832214765100666,0.7828859060402696,0.6791946308724833,0.7919463087248338,0.7493288590604029,0.6055182699477987
"(430, 440]",0.7896692679301338,0.744147157190635,0.8381270903010052,0.7381270903010037,0.7302013422818796,0.758053691275168,0.8265100671140951,0.7293064876957476
"(440, 450]",0.808351976137208,0.7590604026845644,0.739261744966443,0.778859060402684,0.671571906354513,0.769127516778524,0.8067114093959743,0.639167595689334
"(450, 460]",0.7710888145670728,0.6889632107023408,0.7365771812080533,0.7862416107382562,0.7365771812080538,0.7602006688963215,0.8180602006688974,0.6185682326621913
"(460, 470]",0.7613721103653972,0.7134228187919456,0.7481605351170573,0.7571906354515051,0.7275167785234898,0.7875838926174502,0.7446308724832215,0.6952805648457796
"(470, 480]",0.7829803047194319,0.70133779264214,0.7620805369127519,0.7949832775919736,0.6749163879598666,0.7351170568561874,0.7936454849498344,0.6219239373601777
"(480, 490]",0.7199850857568949,0.7171140939597314,0.7424749163879597,0.8073825503355708,0.6936241610738242,0.7573825503355716,0.7734899328859065,0.5361670395227429
"(490, 500]",0.7632363907531671,0.7976510067114086,0.7204697986577183,0.8060402684563771,0.7501672240802676,0.7872909698996656,0.7909698996655519,0.6224451876625782
"(500, 510]",0.7580824972129298,0.7344481605351176,0.7284280936454836,0.8204697986577184,0.607718120805369,0.8043624161073831,0.7489932885906049,0.6614466815809069
"(510, 520]",0.8385533184190868,0.774161073825504,0.7798657718120802,0.8220735785953196,0.7053691275167775,0.7375838926174482,0.8244966442953023,0.6659209545115561
"(520, 530]",0.7617449664429495,0.7815436241610743,0.7265100671140943,0.7671140939597321,0.7294314381270911,0.7076923076923084,0.7698996655518403,0.6629505759940528
"(530, 540]",0.7342995169082099,0.7939799331103676,0.7354515050167216,0.731103678929764,0.7194630872483215,0.7073825503355708,0.7489932885906023,0.6170768083519749
"(540, 550]",0.7662192393735991,0.7248322147651013,0.8244966442953028,0.7285234899328865,0.801006711409396,0.6979865771812078,0.8050335570469813,0.6558538404175966
"(550, 560]",0.7080536912751646,0.7959731543624154,0.7043478260869567,0.7989966555183958,0.6836120401337789,0.6993311036789311,0.7816053511705687,0.6432552954292062
"(560, 570]",0.7658862876254157,0.7558528428093648,0.7899328859060418,0.7607382550335572,0.7728187919463083,0.7781879194630875,0.7721476510067106,0.5827740492170008
"(570, 580]",0.7155108128262464,0.7691275167785233,0.6771812080536909,0.7808724832214773,0.6251677852348991,0.7671140939597326,0.7302013422818809,0.7542878448918694
