time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,replicate_13,replicate_14,replicate_15,replicate_16
"(580, 590]",0.67123745819398,0.6842809364548487,0.5655518394648823,0.647491638795986,0.7729096989966548,0.7829431438127099,0.8036789297658863,0.7742474916387967,0.6792642140468224,0.6468227424749154,0.7525083612040114,0.6702341137123747,0.6966442953020132,0.6833435021354464,0.6382550335570466,0.6657718120805365
"(590, 600]",0.6275167785234889,0.7184563758389254,0.522818791946309,0.6040268456375831,0.7302013422818796,0.7802013422818799,0.802013422818794,0.7553691275167782,0.6838926174496642,0.7308724832214757,0.6818181818181792,0.7280821917808221,0.7230769230769233,0.6205533596837929,0.7337792642140476,0.8000000000000008
"(600, 610]",0.6026755852842801,0.664214046822742,0.5742474916387955,0.7577181208053699,0.7672240802675591,0.7277591973244141,0.8150501672240814,0.8147651006711436,0.7066889632107022,0.7307692307692304,0.7503800547278779,0.7196666666666666,0.661409395973154,0.651311775472848,0.6563758389261737,0.7859060402684568
"(610, 620]",0.7271812080536914,0.7466442953020133,0.4778523489932885,0.6939799331103673,0.7372483221476511,0.7993288590604042,0.7835570469798667,0.7812709030100338,0.6486577181208043,0.7117449664429528,0.8190970103721755,0.6218120805369134,0.7033557046979859,0.6323978035387414,0.7067114093959723,0.7533557046979857
"(620, 630]",0.7389261744966438,0.6664429530201337,0.5050335570469804,0.6466442953020132,0.7520134228187932,0.7409395973154361,0.7751677852349005,0.7788590604026852,0.6533557046979859,0.6697986577181201,0.7239170225747383,0.6610738255033554,0.6247491638795986,0.6099118273031296,0.6792642140468219,0.7076923076923077
"(630, 640]",0.7217391304347824,0.7093645484949825,0.555183946488294,0.6642140468227425,0.7056856187290962,0.7876254180602019,0.7822742474916388,0.8096989966555196,0.6969899665551836,0.6779264214046812,0.7905138339920919,0.6555183946488284,0.6956375838926171,0.6186699206833421,0.67986577181208,0.7647651006711408
"(640, 650]",0.6828859060402669,0.6308724832214752,0.6087248322147646,0.6453020134228188,0.7083892617449662,0.748322147651007,0.7372483221476511,0.7926174496644304,0.6429530201342272,0.6845637583892609,0.7181208053691254,0.6073825503355708,0.6442953020134221,0.6143990237949949,0.7610738255033568,0.666107382550335
"(650, 660]",0.6402684563758383,0.698993288590603,0.5372483221476508,0.6583892617449667,0.6573825503355698,0.7761744966442954,0.7902684563758396,0.6969798657718124,0.7154362416107378,0.6942953020134224,0.7681513117754694,0.6889261744966438,0.7311036789297667,0.6184250532076603,0.6839464882943133,0.7782608695652196
"(660, 670]",0.7113712374581945,0.6846153846153837,0.5421404682274247,0.6491638795986613,0.6578595317725752,0.6732441471571912,0.7518394648829433,0.7040133779264217,0.6702341137123736,0.701003344481605,0.756156886591667,0.6123745819397981,0.6607382550335558,0.5951799877974369,0.6681208053691263,0.7744966442953038
"(670, 680]",0.6456375838926166,0.6449664429530195,0.537919463087248,0.6100671140939599,0.7657718120805365,0.8184563758389279,0.8234899328859081,0.7640939597315441,0.6234899328859054,0.639261744966442,0.7565588773642441,0.7322147651006714,0.6080536912751672,0.6043319097010376,0.6389261744966439,0.7043624161073813
"(680, 690]",0.6748322147651006,0.6996644295302017,0.6077181208053684,0.6268456375838921,0.8070469798657723,0.7308724832214767,0.811409395973155,0.7174496644295302,0.7208053691275161,0.6771812080536915,0.7013422818791927,0.6265100671140931,0.5926421404682268,0.614776527820005,0.6973244147157185,0.7301003344481614
"(690, 700]",0.6999999999999995,0.6886287625418044,0.5408026755852844,0.6665551839464885,0.7545150501672251,0.7665551839464885,0.7488294314381269,0.6862876254180598,0.6979933110367893,0.7207357859531764,0.7865612648221314,0.6745819397993306,0.6862416107382555,0.46217205613178786,0.727852348993289,0.7942953020134234
"(700, 710]",0.6835570469798646,0.6899328859060396,0.5744966442953019,0.66241610738255,0.6426174496644289,0.6996644295302006,0.7503355704697993,0.7137583892617451,0.6248322147651002,0.5805369127516763,0.7382550335570441,0.6080536912751678,0.6852842809364538,0.6238978412891453,0.7327759197324427,0.7401337792642144
"(710, 720]",0.6838926174496642,0.640604026845637,0.5986577181208056,0.5543624161073828,0.771140939597317,0.7463087248322136,0.7483221476510066,0.6778523489932883,0.6724832214765096,0.6553691275167776,0.7507626601586306,0.6805369127516785,0.6634228187919442,0.6699206833435005,0.7181208053691264,0.7976510067114091
"(720, 730]",0.6822742474916381,0.70334448160535,0.5548494983277593,0.5899665551839459,0.6739130434782599,0.7103678929765879,0.8043478260869575,0.6906354515050163,0.7167224080267555,0.6247491638795991,0.6622073578595284,0.6598662207357852,0.6865771812080537,0.6619033140772244,0.7083892617449659,0.7184563758389257
