time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,time_elapsed.1,replicate_13,replicate_14,replicate_15
"(200, 210]",0.08658491267186895,0.14180602006688994,0.024414715719063514,0.21237458193980022,0.1856187290969903,0.068561872909699,0.1063545150501675,0.0732441471571907,0.0026755852842809363,0.0,0.07859531772575262,0.23779264214046783,0.2505016722408024,0.2933110367892974,0.2742474916387961,0.30535117056856165
"(210, 220]",0.06897837434750168,0.10335570469798691,0.0614093959731544,0.2516778523489937,0.22013422818791992,0.04228187919463081,0.061073825503355654,0.07684563758389273,0.01677852348993289,0.00033557046979865775,0.026845637583892596,0.28590604026845645,0.19731543624161124,0.27953020134228174,0.2241610738255034,0.30100671140939605
"(220, 230]",0.10219249349684102,0.15033557046979903,0.11107382550335626,0.2187919463087247,0.1453020134228192,0.0530201342281878,0.03322147651006705,0.06342281879194621,0.05402684563758378,0.0036912751677852344,0.03758389261744959,0.206375838926175,0.1250836120401339,0.3832214765100675,0.2543624161073832,0.3238255033557046
"(230, 240]",0.04101416853094698,0.12006688963210711,0.14682274247491667,0.21170568561872954,0.16254180602006726,0.037792642140468166,0.015050167224080268,0.04615384615384608,0.012709030100334456,0.005016722408026757,0.015050167224080268,0.15250836120401404,0.12046979865771845,0.2872909698996657,0.24715719063545172,0.3428093645484953
"(240, 250]",0.03281133482475761,0.13389261744966457,0.12315436241610768,0.3369127516778524,0.2144295302013425,0.10369127516778578,0.037248322147650954,0.031208053691275123,0.033892617449664396,0.007382550335570469,0.021140939597315424,0.2489932885906039,0.09362416107382565,0.3466442953020139,0.1617449664429534,0.46040268456375855
"(250, 260]",0.01820884429580081,0.1712374581939798,0.12207357859531784,0.2525083612040138,0.1551839464882944,0.07324414715719071,0.0013377926421404684,0.028428093645484927,0.014715719063545152,0.0023411371237458197,0.03311036789297653,0.3130434782608693,0.06923076923076917,0.42341137123745776,0.16521739130434823,0.3377926421404681
"(260, 270]",0.0037285607755406422,0.1862416107382558,0.12483221476510109,0.30134228187919365,0.29295302013422825,0.11812080536912763,0.029194630872483182,0.0060402684563758404,0.01543624161073826,0.00604026845637584,0.09597315436241634,0.2067114093959734,0.1077181208053691,0.3167785234899325,0.17651006711409462,0.4023489932885911
"(270, 280]",0.021625652498135705,0.15906040268456423,0.11174496644295327,0.3167785234899329,0.2681208053691276,0.11510067114094007,0.028187919463087237,0.04865771812080527,0.0073825503355704715,0.015436241610738257,0.020134228187919444,0.24362416107382526,0.14127516778523544,0.18087248322147675,0.18993288590604016,0.42214765100671137
"(280, 290]",0.07283537718320307,0.15016722408026797,0.05384615384615372,0.39197324414715706,0.26020066889632115,0.03143812709030096,0.05719063545150494,0.05016722408026745,0.005351170568561874,0.0,0.026421404682274233,0.14949832775919786,0.10769230769230782,0.23311036789297626,0.2214046822742476,0.4170568561872911
"(290, 300]",0.17002237136465337,0.07248322147651008,0.04966442953020124,0.4573825503355706,0.17348993288590647,0.021812080536912738,0.028859060402684534,0.042953020134228116,0.0036912751677852344,0.002348993288590604,0.0006711409395973155,0.2010067114093966,0.1446308724832218,0.35000000000000003,0.27953020134228196,0.4718120805369128
