time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,time_elapsed.1,replicate_13,replicate_14,replicate_15
"(210, 220]",0.054026845637583816,0.10771812080536916,0.16181953765846438,0.11006711409396001,0.3107382550335571,0.0369127516778523,0.04228187919463079,0.042617449664429465,0.03187919463087245,0.055369127516778464,0.14697986577181243,0.17151379567486982,0.31767337807606355,0.18825503355704745,0.12602535421327377,0.29295302013422825
"(220, 230]",0.03812709030100328,0.15852842809364598,0.23639075316927685,0.10805369127516791,0.38724832214765104,0.05928411633109608,0.030872483221476465,0.08255033557046991,0.021812080536912734,0.030872483221476465,0.15570469798657738,0.12900820283370606,0.37198067632850207,0.2610738255033561,0.10290827740492146,0.36979865771812065
"(230, 240]",0.08288590604026869,0.05939597315436232,0.2140468227424752,0.0361204013377926,0.3180602006688965,0.07432181345224807,0.00802675585284281,0.14180602006689,0.009030100334448163,0.026421404682274215,0.16856187290969915,0.21218877740616893,0.39261744966442913,0.19163879598662262,0.10925306577480473,0.25183946488294356
"(240, 250]",0.05503355704697978,0.07281879194630878,0.11931394481730048,0.10704697986577218,0.3449664429530204,0.10999254287844873,0.029194630872483196,0.11979865771812098,0.02013422818791947,0.024832214765100637,0.12416107382550343,0.12341536167039525,0.3698732289336321,0.26241610738255033,0.07382550335570454,0.34228187919463043
"(250, 260]",0.05284280936454838,0.12274247491638834,0.09215904868078756,0.201672240802676,0.3441471571906356,0.09587513935339997,0.02775919732441467,0.09331103678929767,0.01973244147157191,0.03712374581939794,0.21538461538461592,0.14975845410628047,0.4043106651802296,0.21003344481605418,0.11222593831289472,0.2297658862876253
"(260, 270]",0.08120805369127522,0.04194630872483218,0.10104399701715114,0.18959731543624192,0.39228187919463137,0.07121551081282614,0.03892617449664422,0.07281879194630882,0.06510067114093954,0.03657718120805363,0.12315436241610768,0.1107382550335568,0.33482475764355013,0.22718120805369144,0.17188665175242382,0.3255033557046983
"(270, 280]",0.06812080536912757,0.0,0.10029828486204309,0.1634228187919467,0.3291946308724829,0.046979865771812,0.027181208053691275,0.06275167785234896,0.0422818791946308,0.035234899328859016,0.10100671140939603,0.18307233407904608,0.19910514541387084,0.20805369127516798,0.167039522744221,0.2855704697986579
"(280, 290]",0.08662207357859558,0.009364548494983282,0.06168710516536592,0.35418060200668966,0.3899665551839471,0.06354515050167212,0.04615384615384605,0.06421404682274245,0.039130434782608664,0.06354515050167218,0.12173913043478293,0.14083983649201026,0.24600520252694238,0.07424749163879599,0.2054998141954668,0.28260869565217356
"(290, 300]",0.10000000000000005,0.0010067114093959733,0.09172259507829955,0.35268456375838986,0.23255033557047045,0.029455630126771028,0.06543624161073819,0.11107382550335586,0.04530201342281869,0.058724832214765044,0.13959731543624207,0.04921700223713638,0.2766592095451159,0.02315436241610737,0.18605518269947843,0.291275167785235
"(300, 310]",0.5644295302013427,0.5352348993288587,0.17561521252796408,0.6674496644295298,0.42818791946308754,0.2669649515287099,0.3442953020134228,0.438255033557047,0.008053691275167786,0.1483221476510067,0.10335570469798656,0.024608501118568202,0.16480238627889637,0.45604026845637613,0.6081282624906774,0.6315436241610735
"(310, 320]",0.817056856187292,0.8150501672240809,0.8037904124860621,0.7428093645484952,0.7541806020066877,0.6874767744332929,0.7023411371237456,0.776923076923078,0.46354515050167205,0.5428093645484953,0.5020066889632108,0.41806020066889643,0.28651059085841674,0.8652173913043495,0.827201783723519,0.6816053511705674
"(320, 330]",0.8744966442953034,0.8567114093959748,0.7822520507084237,0.7963087248322149,0.8771812080536938,0.7229679343773286,0.6775167785234898,0.8362416107382565,0.6523489932885902,0.7093959731543626,0.796979865771813,0.7416107382550307,0.6584638329604755,0.8744966442953034,0.7322893363161792,0.642281879194631
"(330, 340]",0.8815436241610753,0.8469798657718132,0.7516778523489912,0.8214765100671158,0.840604026845639,0.7550335570469773,0.7902684563758405,0.8681208053691292,0.572818791946309,0.7036912751677845,0.7869127516778519,0.7143922445935841,0.8247576435495871,0.8640939597315453,0.7390007457121516,0.6194630872483212
"(340, 350]",0.8535117056856198,0.7622073578595316,0.7287253808992906,0.820735785953178,0.8327759197324419,0.7041991824600495,0.7625418060200666,0.8555183946488315,0.5856187290969901,0.6789297658862875,0.7986622073578609,0.6421404682274228,0.8353771832032671,0.7444816053511712,0.6347082868821984,0.568227424749164
"(350, 360]",0.8392617449664443,0.7983221476510076,0.7125279642058138,0.7788590604026849,0.8144295302013429,0.7524235645040976,0.7617449664429528,0.863087248322149,0.8479865771812107,0.7422818791946304,0.8023489932885912,0.6968680089485446,0.7878448918717349,0.8177852348993314,0.5447427293064869,0.5822147651006719
"(360, 370]",0.8113712374581946,0.7066889632107016,0.7009694258016383,0.7828859060402679,0.7063758389261741,0.7695749440715852,0.6671140939597316,0.8130872483221485,0.7842281879194632,0.7959731543624173,0.7057046979865772,0.6032811334824734,0.8146905294556268,0.7540268456375838,0.7121551081282594,0.5043624161073832
"(370, 380]",0.7479865771812084,0.832214765100672,0.702712746191004,0.8023411371237475,0.6227424749163875,0.8487551096246722,0.6588628762541796,0.8264214046822752,0.8575250836120419,0.7836120401337789,0.7612040133779282,0.605722779635822,0.7647714604236322,0.8173913043478271,0.6633221850613132,0.5418060200668899
"(380, 390]",0.7721476510067128,0.8137583892617463,0.7785234899328831,0.8020134228187925,0.7261744966442947,0.7975391498881406,0.7543624161073833,0.8332214765100673,0.8412751677852365,0.7993288590604031,0.7281879194630879,0.5443698732289323,0.7688292319164777,0.788590604026846,0.7050708426547322,0.5751677852348998
"(390, 400]",0.7926421404682282,0.8214046822742478,0.8264585655889978,0.8254180602006705,0.665886287625419,0.8234856930509071,0.7193979933110375,0.8200668896321068,0.8471571906354536,0.6762541806020059,0.781270903010035,0.6900780379041229,0.8212560386473399,0.7622073578595314,0.693422519509474,0.504013377926422
"(400, 410]",0.7570469798657726,0.7942953020134228,0.7744220730797874,0.7614093959731549,0.7842281879194637,0.6785980611483939,0.8231543624161088,0.8097315436241634,0.8265100671140958,0.8130872483221481,0.7882550335570478,0.6521252796420569,0.7274422073079763,0.7570469798657722,0.6439224459358682,0.6070469798657713
