Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity
"(150, 160]",0.09463087248322163,0.04060402684563749,0.008053691275167788,0.008053691275167788,0.05503355704697979,0.09127516778523524,0.036241610738254985,0.026174496644295296,0.0030201342281879194,0.0016778523489932886,0.10469798657718149,0.08993288590604052,0.07114093959731539,0.32475764354959
"(160, 170]",0.06476510067114098,0.1453020134228188,0.006375838926174497,0.009731543624161076,0.0523489932885905,0.11375838926174515,0.09328859060402699,0.06644295302013423,0.0651006711409396,0.02181208053691274,0.04865771812080527,0.06174496644295296,0.11476510067114162,0.4134973900074575
"(170, 180]",0.08896321070234128,0.05150501672240798,0.009030100334448163,0.004013377926421405,0.08227424749163902,0.12441471571906401,0.1354515050167222,0.06120401337792635,0.1083612040133781,0.0,0.07725752508361201,0.11872909698996684,0.048829431438127,0.4009661835748793
"(180, 190]",0.06409395973154365,0.11510067114093987,0.0,0.0033557046979865767,0.0781879194630875,0.09362416107382576,0.1838926174496652,0.05134228187919453,0.14362416107382603,0.027516778523489896,0.028523489932885858,0.05805369127516774,0.02953020134228184,0.45824011931394487
"(190, 200]",0.10167785234899364,0.08724832214765123,0.02483221476510064,0.02718120805369127,0.06476510067114098,0.009060402684563762,0.20167785234899427,0.06744966442953026,0.045302013422818706,0.036241610738254985,0.014093959731543627,0.11040268456375853,0.0953020134228191,0.3530947054436996
"(200, 210]",0.07859531772575258,0.13478260869565253,0.00334448160535117,0.09096989966555212,0.08996655518394665,0.0438127090301003,0.09698996655518408,0.05418060200668885,0.11137123745819406,0.0892976588628765,0.028428093645484914,0.09230769230769244,0.1267558528428099,0.2928279450018592
"(210, 220]",0.004362416107382551,0.04999999999999989,0.008724832214765103,0.08791946308724845,0.02449664429530202,0.04261744966442947,0.07248322147651014,0.010402684563758393,0.1261744966442956,0.095302013422819,0.030201342281879175,0.10604026845637592,0.1295302013422825,0.359806114839672
"(220, 230]",0.005704697986577182,0.054697986577181126,0.016442953020134227,0.01677852348993288,0.07214765100671151,0.06845637583892616,0.07214765100671139,0.0,0.14026845637583926,0.014429530201342288,0.1211409395973158,0.045637583892617385,0.09127516778523509,0.45674869500372856
"(230, 240]",0.03511705685618725,0.11137123745819419,0.0026755852842809363,0.02876254180602004,0.07591973244147167,0.06688963210702334,0.061872909698996635,0.0,0.17056856187290992,0.01404682274247492,0.0481605351170568,0.14916387959866237,0.12173913043478275,0.49089557785210014
"(240, 250]",0.06812080536912749,0.062416107382550316,0.00033557046979865775,0.025838926174496613,0.11006711409395992,0.06812080536912746,0.06677852348993282,0.00033557046979865775,0.17181208053691327,0.04026845637583885,0.08456375838926197,0.1637583892617452,0.11375838926174515,0.4105145413870248
"(250, 260]",0.03221476510067109,0.03979933110367887,0.0,0.09063545150501691,0.11839464882943165,0.0715719063545152,0.06488294314381275,0.0,0.06321070234113708,0.00702341137123746,0.026086956521739126,0.2040133779264217,0.1448160535117062,0.3712374581939802
"(260, 270]",0.015436241610738257,0.12516778523489946,0.002348993288590604,0.015100671140939598,0.06510067114093958,0.046308724832214675,0.07449664429530195,0.0006711409395973155,0.11610738255033591,0.002348993288590604,0.04798657718120794,0.18020134228187965,0.20906040268456416,0.2419835943325882
"(270, 280]",0.0050335570469798654,0.07583892617449688,0.0,0.02416107382550333,0.10033557046979864,0.09362416107382567,0.1802013422818794,0.008389261744966448,0.1214765100671142,0.020469798657718103,0.030536912751677803,0.07516778523489942,0.21174496644295293,0.31245339299030617
"(280, 290]",0.014715719063545152,0.08327759197324443,0.0,0.016053511705685617,0.14648829431438185,0.03444816053511703,0.1471571906354519,0.0,0.05351170568561866,0.008695652173913047,0.06354515050167216,0.11705685618729102,0.20735785953177246,0.2764771460423646
"(290, 300]",0.03926174496644289,0.03489932885906036,0.001342281879194631,0.006375838926174499,0.13657718120805407,0.011073825503355708,0.07651006711409411,0.0016778523489932886,0.014093959731543627,0.005369127516778525,0.03758389261744959,0.09328859060402707,0.20100671140939622,0.3620432513049961
"(300, 310]",0.2268456375838925,0.06375838926174489,0.0,0.16711409395973145,0.14932885906040316,0.2577181208053693,0.31879194630872476,0.42651006711409384,0.10604026845637586,0.09194630872483223,0.13523489932885926,0.4671140939597313,0.7953020134228197,0.6953765846383279
"(310, 320]",0.7377926421404678,0.22341137123745808,0.15986622073578605,0.6173913043478252,0.3321070234113714,0.7551839464882956,0.7695652173913052,0.7428093645484957,0.7548494983277593,0.6250836120401336,0.1481605351170568,0.7725752508361211,0.7715719063545148,0.8101077666295028
"(320, 330]",0.7332214765100673,0.7241610738255023,0.7815436241610734,0.6359060402684555,0.7791946308724833,0.7436241610738262,0.8050335570469794,0.7795302013422829,0.8714765100671158,0.7902684563758391,0.6744966442953012,0.7966442953020152,0.6375838926174491,0.8068605518269925
"(330, 340]",0.6848993288590601,0.8154362416107392,0.7469798657718124,0.7332214765100665,0.7892617449664436,0.7221476510067112,0.7775167785234903,0.7942953020134235,0.861409395973156,0.7402684563758386,0.6973154362416087,0.7684563758389276,0.5489932885906038,0.7885906040268422
"(340, 350]",0.5337792642140475,0.8130434782608713,0.7551839464882938,0.7207357859531771,0.6578595317725743,0.7468227424749161,0.6548494983277576,0.7030100334448156,0.8351170568561886,0.7869565217391313,0.6859531772575251,0.7354515050167227,0.6494983277591962,0.7447045707915237
"(350, 360]",0.6271812080536902,0.7892617449664439,0.7694630872483217,0.6607382550335569,0.6093959731543626,0.7389261744966442,0.6459731543624153,0.6449664429530195,0.7399328859060402,0.7298657718120807,0.6577181208053681,0.8026845637583907,0.5302013422818792,0.6476510067114076
"(360, 370]",0.6583892617449655,0.7661073825503352,0.6909395973154373,0.6667785234899324,0.6684563758389261,0.7406040268456364,0.6298657718120796,0.6563758389261733,0.7258389261744953,0.7265100671140945,0.676174496644295,0.7124161073825488,0.49765100671140955,0.7516778523489909
"(370, 380]",0.5943143812709027,0.7357859531772581,0.7408026755852843,0.6200668896321068,0.578595317725752,0.7003344481605338,0.7451505016722407,0.6799331103678922,0.7538461538461546,0.7501672240802679,0.6555183946488288,0.6976588628762541,0.5732441471571902,0.6187290969899659
"(380, 390]",0.6738255033557038,0.7302013422818798,0.7117449664429527,0.5825503355704692,0.5714765100671131,0.7194630872483223,0.6848993288590596,0.7016778523489933,0.694630872483221,0.6781879194630871,0.5781879194630861,0.7516778523489942,0.4768456375838922,0.6689038031319886
"(390, 400]",0.5979933110367881,0.7662207357859544,0.6675585284280935,0.6581939799331092,0.6424749163879594,0.7053511705685604,0.7678929765886289,0.7030100334448149,0.6331103678929759,0.7541806020066898,0.6866220735785955,0.6909698996655511,0.5311036789297668,0.5856558900037141
"(400, 410]",0.5892617449664422,0.7671140939597311,0.7372483221476502,0.7218120805369143,0.6208053691275167,0.7859060402684578,0.6869127516778512,0.6986577181208047,0.7922818791946317,0.6734899328859061,0.6640939597315441,0.6818791946308722,0.527181208053691,0.740492170022369
"(410, 420]",0.6808724832214765,0.7583892617449666,0.6865771812080533,0.779530201342282,0.6573825503355694,0.8060402684563773,0.7265100671140947,0.7667785234899336,0.7848993288590611,0.7771812080536914,0.7285234899328855,0.7469798657718121,0.667114093959731,0.6126025354213266
"(420, 430]",0.7040133779264216,0.7806020066889624,0.7933110367892989,0.7190635451505026,0.6515050167224068,0.8354515050167236,0.7441471571906364,0.7110367892976595,0.6531772575250823,0.7488294314381274,0.7177257525083601,0.7290969899665541,0.6662207357859518,0.6685247120029717
"(430, 440]",0.7721476510067119,0.6838926174496621,0.7567114093959729,0.7114093959731532,0.5899328859060404,0.776510067114094,0.7338926174496652,0.7308724832214758,0.753355704697986,0.7862416107382547,0.6422818791946308,0.5929530201342281,0.634563758389261,0.672259507829976
"(440, 450]",0.7073825503355702,0.6463087248322136,0.7687919463087254,0.7429530201342276,0.6506711409395969,0.7728187919463084,0.6862416107382552,0.7449664429530216,0.7845637583892631,0.8097315436241624,0.5503355704697988,0.7070469798657717,0.5308724832214762,0.6368381804623395
"(450, 460]",0.6966555183946486,0.6668896321070228,0.8107023411371244,0.790635451505017,0.7086956521739126,0.7979933110367907,0.6903010033444809,0.7591973244147154,0.6695652173913041,0.7819397993311046,0.6023411371237457,0.7712374581939808,0.5812709030100336,0.6008918617614253
"(460, 470]",0.7530201342281877,0.7520134228187926,0.7348993288590607,0.7305369127516776,0.6728187919463078,0.8003355704697996,0.7352348993288588,0.7453020134228191,0.6714765100671134,0.7208053691275158,0.642953020134227,0.7828859060402693,0.6429530201342285,0.5704697986577174
"(470, 480]",0.781543624161074,0.7604026845637587,0.6942953020134219,0.7093959731543638,0.6241610738255035,0.7389261744966448,0.6479865771812081,0.7073825503355714,0.6999999999999992,0.7325503355704706,0.5986577181208049,0.7446308724832209,0.5775167785234898,0.6181953765846384
"(480, 490]",0.786287625418061,0.6966555183946481,0.7100334448160526,0.7117056856187283,0.7347826086956526,0.8120401337792649,0.7257525083612035,0.8354515050167235,0.7070234113712374,0.7755852842809371,0.7003344481605347,0.7384615384615395,0.5658862876254176,0.651430694908954
"(490, 500]",0.820134228187921,0.7090604026845633,0.8046979865771807,0.7244966442953016,0.6724832214765099,0.7865771812080534,0.7030201342281873,0.8067114093959734,0.686577181208053,0.791946308724832,0.6993288590604033,0.6399328859060394,0.6614093959731537,0.6017897091722583
"(500, 510]",0.7953020134228197,0.7291946308724836,0.6973154362416113,0.7335570469798657,0.6191275167785231,0.7771812080536923,0.6687919463087235,0.8053691275167798,0.6671140939597304,0.6546979865771808,0.646644295302012,0.6936241610738264,0.6476510067114083,0.5630126771066364
"(510, 520]",0.7852842809364547,0.7120401337792627,0.7575250836120407,0.7792642140468222,0.5986622073578589,0.7525083612040133,0.6725752508361198,0.7919732441471585,0.6732441471571909,0.7257525083612039,0.5882943143812714,0.7006688963210688,0.5461538461538461,0.5819397993311025
"(520, 530]",0.7634228187919461,0.6672240802675593,0.6444816053511697,0.7421404682274244,0.7077181208053678,0.7805369127516784,0.7130872483221462,0.736454849498327,0.7379194630872474,0.7426174496644294,0.5731543624161072,0.726845637583892,0.5392617449664425,0.6394481730052187
"(530, 540]",0.7832775919732439,0.6174496644295299,0.6993288590604027,0.7520134228187931,0.6297658862876252,0.6712374581939798,0.7759197324414728,0.7711409395973163,0.759531772575251,0.7829431438127114,0.6493288590604015,0.7171140939597312,0.6672240802675581,0.5988068605518251
"(540, 550]",0.790939597315437,0.668791946308724,0.6667785234899326,0.7553691275167778,0.5557046979865776,0.7734899328859064,0.7234899328859062,0.7181208053691273,0.640268456375838,0.7872483221476512,0.6648829431438116,0.8127090301003352,0.6865771812080533,0.6254180602006683
"(550, 560]",0.7712374581939795,0.6093645484949824,0.6608695652173915,0.735117056856187,0.5953177257525085,0.8000000000000016,0.7257525083612033,0.736454849498328,0.6389261744966431,0.7164429530201325,0.6422818791946299,0.706711409395972,0.6040268456375841,0.7345264727815031
"(560, 570]",0.7362416107382552,0.6231543624161071,0.7325503355704706,0.6852348993288584,0.5906040268456372,0.723825503355704,0.7426174496644289,0.7057046979865772,0.6755852842809361,0.7819397993311042,0.6785953177257521,0.7100334448160531,0.6648829431438115,0.6897064288368615
"(570, 580]",0.7389261744966445,0.7197986577181196,0.7590604026845624,0.7231543624161079,0.6442953020134227,0.7352348993288584,0.7798657718120818,0.771140939597316,0.7587248322147652,0.7399328859060391,0.6644295302013431,0.6771812080536905,0.6023489932885902,0.5622669649515278
"(580, 590]",0.8394648829431457,0.6515050167224071,0.7688963210702341,0.7575250836120392,0.5698996655518392,0.7374581939799324,0.7528428093645483,0.7331103678929771,0.6879194630872473,0.7855704697986576,0.761409395973155,0.7788590604026858,0.5761744966442945,0.68642803877703
"(590, 600]",0.713087248322146,0.7184563758389263,0.7338926174496634,0.7630872483221478,0.5664429530201344,0.6714765100671128,0.695973154362416,0.8040268456375835,0.621070234113712,0.649498327759197,0.7080267558528418,0.7986622073578608,0.6561872909698989,0.6231884057971009
"(600, 610]",0.7516778523489945,0.7345637583892619,0.7536912751677858,0.6255033557046978,0.5630872483221477,0.7862416107382549,0.7761744966442967,0.7969798657718125,0.6506711409395963,0.7161073825503335,0.6157718120805368,0.809395973154364,0.5553691275167785,0.6405667412378829
"(610, 620]",0.7719063545150509,0.7414715719063542,0.7127090301003336,0.719063545150501,0.5190635451505013,0.6842809364548493,0.5832775919732436,0.6922818791946312,0.6738255033557043,0.7785234899328866,0.6620805369127508,0.7221476510067115,0.6463087248322135,0.5626398210290816
"(620, 630]",0.7590604026845634,0.6352348993288591,0.663758389261744,0.7805369127516779,0.6567114093959723,0.7436241610738253,0.7697986577181222,0.7501672240802685,0.6722408026755846,0.7862876254180617,0.6618729096989958,0.7070234113712371,0.6347826086956521,0.582683017465626
"(630, 640]",0.7408026755852841,0.7384615384615378,0.6070234113712363,0.698327759197324,0.5949832775919729,0.659197324414717,0.7140468227424744,0.7481605351170577,0.6936241610738247,0.7832214765100675,0.5875838926174493,0.6583892617449663,0.5607382550335558,0.7244593586875441
"(640, 650]",0.7647651006711417,0.7392617449664426,0.7503355704697983,0.7442953020134235,0.561409395973154,0.6993288590604031,0.6919463087248328,0.6859060402684563,0.6634228187919453,0.7194630872483213,0.6278523489932875,0.6738255033557049,0.5600671140939592,0.5756897837434735
"(650, 660]",0.7191275167785243,0.6865771812080528,0.6466442953020122,0.741275167785235,0.49597315436241624,0.7110738255033555,0.6946308724832214,0.7916107382550346,0.7337792642140462,0.815719063545151,0.6842809364548492,0.7170568561872905,0.6127090301003347,0.57785209959123
"(660, 670]",0.7598662207357866,0.6448160535117051,0.670903010033445,0.7551839464882941,0.6702341137123735,0.6949832775919723,0.7505016722408037,0.8150501672240806,0.7063758389261736,0.7463087248322154,0.608389261744966,0.7421232876712334,0.5724832214765089,0.5697240865026083
"(670, 680]",0.7620805369127519,0.7174496644295293,0.784228187919463,0.7674496644295313,0.5624161073825495,0.7439597315436243,0.7144295302013409,0.7100671140939602,0.7324414715719059,0.7531772575250826,0.5617449664429521,0.6849829351535829,0.7010067114093965,0.5865026099925418
"(680, 690]",0.7479865771812083,0.7023489932885906,0.7201342281879191,0.8087248322147661,0.5526845637583896,0.717114093959732,0.7375838926174502,0.7285234899328855,0.643288590604027,0.7694630872483228,0.6608695652173903,0.6956521739130432,0.7020066889632106,0.5629877369007789
"(690, 700]",0.7231543624161081,0.5929765886287618,0.7053511705685609,0.7735785953177263,0.6016722408026755,0.6956521739130443,0.7003344481605355,0.7578595317725754,0.6577181208053687,0.747651006711409,0.6278523489932869,0.6785234899328852,0.5916107382550334,0.6245339299030563
"(700, 710]",0.7846153846153837,0.5966442953020129,0.7151006711409393,0.7342281879194624,0.5446308724832212,0.783557046979866,0.7946308724832227,0.7063758389261745,0.7802675585284282,0.709698996655519,0.7274247491638791,0.6949832775919723,0.5949832775919721,0.5421776291341498
"(710, 720]",0.7177852348993279,0.6835570469798653,0.71006711409396,0.6953020134228179,0.5731543624161065,0.7013422818791947,0.6436241610738248,0.7526845637583891,0.7083892617449665,0.692953020134228,0.6587248322147647,0.7476510067114105,0.6795302013422813,0.5950782997762851
