Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity
"(250, 260]",0.010067114093959736,0.020805369127516758,0.11806020066889676,0.017056856187290973,0.005351170568561874,0.021404682274247487,0.004830917874396136,0.006688963210702343,0.013043478260869573,0.005016722408026757,0.02608695652173909,0.021404682274247484,0.17123745819398029,0.01151988108509848,0.07826086956521745
"(260, 270]",0.005704697986577183,0.052013422818791843,0.15268456375838962,0.03221476510067109,0.013087248322147658,0.03489932885906036,0.012677106636838185,0.0,0.0701342281879194,0.02617449664429526,0.06610738255033553,0.01711409395973154,0.0687919463087249,0.07718120805369114,0.11979865771812086
"(270, 280]",0.0060402684563758404,0.023825503355704686,0.2046979865771815,0.0322147651006711,0.04295302013422811,0.013422818791946315,0.017897091722595068,0.0,0.04328859060402679,0.0228187919463087,0.11174496644295324,0.0036912751677852344,0.09563758389261749,0.14354958985831479,0.0775167785234899
"(280, 290]",0.02307692307692305,0.03377926421404677,0.2872909698996656,0.10702341137123769,0.019732441471571886,0.003678929765886288,0.009290226681531032,0.02192493496841321,0.058862876254180546,0.01739130434782608,0.0652173913043478,0.006354515050167226,0.15752508361204046,0.06688963210702323,0.021070234113712352
"(290, 300]",0.007046979865771812,0.05067114093959725,0.15302013422818875,0.002013422818791946,0.005033557046979867,0.0,0.0014914243102162564,0.0074571215510812845,0.04966442953020124,0.018791946308724827,0.063758389261745,0.016442953020134224,0.11979865771812072,0.11036539895600275,0.1369127516778524
"(300, 310]",0.23322147651006706,0.27214765100671146,0.13255033557047036,0.13859060402684562,0.008389261744966446,0.15302013422818786,0.2408650260999253,0.24533929903057416,0.15704697986577162,0.037583892617449585,0.45637583892617467,0.26845637583892606,0.7409395973154363,0.49962714392244467,0.5513422818791947
"(310, 320]",0.5230769230769224,0.5896321070234113,0.2214046822742476,0.6063545150501657,0.21505016722408035,0.5438127090300998,0.5507246376811599,0.5704199182460054,0.4685618729096988,0.08929765886287624,0.6892976588628761,0.43812709030100305,0.7307692307692303,0.6510590858416924,0.6682274247491632
"(320, 330]",0.5922818791946295,0.6500000000000001,0.8275167785234911,0.6781879194630863,0.6177852348993288,0.5308724832214766,0.686428038777029,0.6002982848620416,0.7369127516778516,0.529194630872483,0.6563758389261742,0.5144295302013429,0.6953020134228179,0.598806860551827,0.7255033557046977
"(330, 340]",0.6412751677852346,0.6432885906040259,0.8177852348993303,0.6375838926174489,0.6429530201342277,0.6768456375838923,0.6375838926174473,0.6483967188665155,0.684228187919462,0.5869127516778512,0.526845637583892,0.5446308724832218,0.7137583892617442,0.6189410887397458,0.6704697986577172
"(340, 350]",0.6414715719063546,0.6635451505016724,0.7919732441471583,0.7023411371237456,0.6307692307692297,0.6498327759197324,0.6904496469713831,0.7179487179487148,0.6775919732441461,0.6431438127090289,0.595652173913043,0.5214046822742472,0.7183946488294319,0.6020066889632089,0.6173913043478255
"(350, 360]",0.6577181208053682,0.6671140939597311,0.7808724832214764,0.6342281879194619,0.5640939597315436,0.6469798657718119,0.7692020879940318,0.6573452647278129,0.6694630872483214,0.5899328859060397,0.5506711409395975,0.4795302013422815,0.7385906040268453,0.6431767337807593,0.638255033557046
"(360, 370]",0.6728187919463072,0.706040268456375,0.7338926174496645,0.608053691275167,0.6325503355704696,0.6204697986577167,0.7606263982102878,0.6703952274422051,0.6775167785234906,0.6889261744966433,0.5036912751677856,0.5338926174496643,0.8406040268456392,0.5775540641312451,0.584563758389261
"(370, 380]",0.63210702341137,0.6682274247491639,0.6779264214046808,0.672240802675585,0.521404682274247,0.6725752508361194,0.7892976588628737,0.7889260497956126,0.7056856187290967,0.6096989966555175,0.3662207357859528,0.6100334448160535,0.8066889632107024,0.7157190635451475,0.6849498327759195
"(380, 390]",0.7020134228187928,0.7533557046979872,0.7530201342281877,0.7466442953020132,0.7194630872483228,0.7597315436241616,0.6677852348993262,0.6539895600298261,0.7147651006711405,0.7335570469798659,0.469463087248322,0.6110738255033547,0.7456375838926163,0.587621178225204,0.6466442953020123
"(390, 400]",0.760869565217392,0.7183946488294318,0.8364548494983296,0.684280936454848,0.7133779264214034,0.8083612040133797,0.7361575622445152,0.7807506503158653,0.725083612040134,0.6444816053511694,0.41137123745819426,0.6177257525083604,0.7531772575250844,0.6532887402452605,0.5545150501672238
"(400, 410]",0.6932885906040251,0.7781879194630876,0.7687919463087252,0.6838926174496645,0.7352348993288594,0.7852348993288603,0.7173750932140163,0.7013422818791925,0.7466442953020123,0.7006711409395969,0.480201342281879,0.5546979865771815,0.8295302013422828,0.648396718866516,0.5835570469798644
"(410, 420]",0.7164429530201328,0.7567114093959729,0.857046979865774,0.7560402684563761,0.7325503355704694,0.7208053691275162,0.6357196122296781,0.718120805369125,0.7372483221476505,0.6969798657718113,0.6110738255033544,0.549328859060402,0.7600671140939605,0.6752423564504075,0.6429530201342271
"(420, 430]",0.6906354515050159,0.7103678929765879,0.7578595317725744,0.7963210702341134,0.7996655518394656,0.6545150501672237,0.8182831661092502,0.8104793756967644,0.7167224080267568,0.6882943143812706,0.6150501672240789,0.6050167224080255,0.8418060200668903,0.6975102192493466,0.6615384615384603
"(430, 440]",0.7201342281879218,0.6999999999999997,0.8285234899328876,0.7570469798657725,0.7506711409395981,0.7607382550335585,0.8083519761372089,0.8135719612229648,0.7365771812080528,0.7030201342281869,0.6399328859060408,0.5953020134228184,0.8845637583892642,0.6856823266219215,0.6234899328859045
"(440, 450]",0.7224832214765097,0.833557046979867,0.8493288590604043,0.7718120805369114,0.7204697986577179,0.8285234899328882,0.791200596569721,0.7956748695003701,0.7348993288590607,0.7130872483221476,0.5906040268456376,0.6513422818791944,0.7781879194630879,0.6804623415361649,0.7687919463087257
"(450, 460]",0.7050167224080267,0.7581939799331099,0.8612040133779287,0.8220735785953195,0.7361204013377922,0.7595317725752516,0.886287625418058,0.7539947974730555,0.7749163879598673,0.6063545150501664,0.7030100334448166,0.6133779264214042,0.8304347826086967,0.5953177257525071,0.770234113712375
"(460, 470]",0.7083892617449667,0.7895973154362427,0.8130872483221487,0.8281879194630893,0.7590604026845638,0.7781879194630879,0.79753914988814,0.7643549589858287,0.7459731543624167,0.7422818791946306,0.6563758389261738,0.5352348993288589,0.9164429530201352,0.7762863534675583,0.7486577181208055
"(470, 480]",0.7010067114093954,0.8157718120805381,0.8577181208053704,0.8506711409396,0.7852348993288603,0.6755033557046972,0.7822520507084237,0.8389261744966414,0.6835570469798644,0.6795302013422806,0.6892617449664431,0.6808724832214765,0.8221476510067113,0.6502609992542856,0.6828859060402672
"(480, 490]",0.7247491638795984,0.788963210702342,0.836789297658864,0.786622073578597,0.8030100334448164,0.75351170568562,0.8621330360460773,0.7729468599033791,0.755183946488294,0.5515050167224069,0.6973244147157182,0.6949832775919721,0.8177257525083602,0.5421776291341505,0.7036789297658858
"(490, 500]",0.7010067114093959,0.7526845637583903,0.798993288590604,0.7342281879194617,0.7530201342281874,0.8070469798657719,0.7505592841163284,0.7710663683818018,0.661073825503355,0.7107382550335567,0.6372483221476511,0.6291946308724816,0.8275167785234913,0.552572706935124,0.7046979865771806
"(500, 510]",0.6510067114093957,0.7946308724832222,0.6697986577181203,0.8281879194630893,0.6580536912751671,0.8174496644295318,0.805369127516775,0.7874720357941809,0.7493288590604016,0.7446308724832212,0.7442953020134224,0.6744966442953014,0.7768456375838918,0.6808351976137189,0.6379194630872475
"(510, 520]",0.7127090301003333,0.8066889632107022,0.7989966555183966,0.705016722408027,0.6418060200668887,0.8571906354515073,0.7852099591230002,0.803790412486062,0.7227424749163875,0.6481605351170564,0.7515050167224084,0.6321070234113697,0.8337792642140472,0.6930509104422121,0.7294314381270915
"(520, 530]",0.6520134228187913,0.7899328859060407,0.7903010033444817,0.7531772575250835,0.7885906040268468,0.8147651006711417,0.8034188034187997,0.7748049052396844,0.7187919463087252,0.6107382550335554,0.6694630872483225,0.6530201342281874,0.8130872483221484,0.6472781506338535,0.6459731543624155
"(530, 540]",0.7257525083612045,0.8187290969899683,0.7271812080536905,0.7610738255033572,0.7836120401337805,0.7949832775919736,0.8072334079045468,0.7747949291573423,0.7374581939799344,0.7013422818791947,0.6812080536912754,0.5322147651006708,0.7387959866220737,0.5555555555555545,0.6765100671140929
"(540, 550]",0.709731543624161,0.7795302013422833,0.7312080536912751,0.7768456375838928,0.675167785234899,0.7775167785234901,0.7483221476510051,0.7744220730797886,0.7157718120805364,0.6973244147157188,0.7036789297658854,0.5568561872909693,0.7704697986577183,0.591601635079896,0.6812709030100327
"(550, 560]",0.6588628762541796,0.7632107023411371,0.7869565217391314,0.7622073578595325,0.7889632107023428,0.7324414715719081,0.7729468599033794,0.779635823114081,0.7033557046979859,0.6882550335570461,0.707046979865772,0.594966442953019,0.7838926174496649,0.56785980611484,0.6926174496644288
"(560, 570]",0.6791946308724814,0.766442953020136,0.7560402684563758,0.8053691275167791,0.723154362416108,0.8114093959731542,0.6998508575689759,0.7580164056674097,0.7505016722408037,0.7140468227424739,0.7003344481605348,0.6789297658862863,0.7511705685618739,0.5789669267930128,0.6411371237458191
"(570, 580]",0.6238255033557047,0.7848993288590614,0.716107382550334,0.7852348993288594,0.7610738255033566,0.7728187919463098,0.720730797912003,0.7960477255779245,0.7352348993288589,0.6523489932885898,0.7486577181208054,0.6426174496644286,0.805369127516779,0.593586875466068,0.6963087248322145
"(580, 590]",0.6602006688963196,0.7605351170568562,0.7287625418060202,0.748829431438127,0.7187290969899659,0.7933110367892986,0.7194351542177609,0.7792642140468198,0.6724832214765091,0.5560402684563759,0.6721476510067115,0.6677852348993272,0.8093959731543631,0.6237882177479476,0.7651006711409397
"(590, 600]",0.6620805369127505,0.8392617449664448,0.7000000000000005,0.77785234899329,0.7013422818791938,0.6778523489932878,0.7263236390753145,0.8314690529455605,0.6284280936454864,0.682274247491639,0.6334448160535112,0.6331103678929754,0.7608695652173906,0.6484578223708641,0.6471571906354504
"(600, 610]",0.6902684563758392,0.7315436241610739,0.6765100671140933,0.714093959731544,0.6704697986577178,0.7674496644295302,0.7777777777777745,0.8053691275167758,0.6798657718120791,0.6788590604026834,0.6607382550335562,0.5885906040268462,0.6791946308724817,0.6319910514541361,0.6956375838926165
"(610, 620]",0.7367892976588639,0.7782608695652189,0.7133779264214046,0.7237458193979925,0.7371237458193978,0.7397993311036788,0.7841163310961939,0.805741983594329,0.7067114093959728,0.6258389261744963,0.6640939597315436,0.5583892617449657,0.7355704697986577,0.5018642803877699,0.7651006711409393
"(620, 630]",0.6929530201342283,0.7083892617449664,0.6412751677852344,0.7755033557046985,0.6902684563758379,0.7939597315436253,0.7097733184689676,0.7859531772575213,0.5913043478260872,0.6692307692307685,0.6130434782608702,0.5862876254180606,0.6602006688963211,0.6945373467112572,0.6270903010033441
"(630, 640]",0.7013377926421399,0.7515050167224094,0.6063545150501668,0.7157190635451504,0.709030100334449,0.7846153846153847,0.712002972872536,0.7800074321813414,0.6036912751677846,0.6869127516778522,0.6751677852348984,0.579194630872482,0.6516778523489923,0.5208799403430292,0.6912751677852358
"(640, 650]",0.6748322147650994,0.7295302013422824,0.68255033557047,0.6912751677852338,0.6543624161073821,0.7486577181208063,0.676733780760625,0.6920208799403401,0.6335570469798657,0.5624161073825509,0.6567114093959725,0.6248322147651001,0.7238255033557051,0.5328113348247566,0.6694630872483209
