Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity
"(170, 180]",0.0608695652173913,0.008026755852842812,0.045150501672240724,0.0003344481605351171,0.022073578595317715,0.0004180602006688963,0.0,0.004682274247491639,0.012709030100334454,0.017725752508361198,0.055852842809364464,0.06187290969899657,0.030434782608695605,0.05091044221478995,0.13452248234856953
"(180, 190]",0.0006711409395973155,0.002348993288590604,0.026174496644295275,0.0036912751677852344,0.028859060402684537,0.0050335570469798654,0.00805369127516779,0.010067114093959736,0.007046979865771812,0.010067114093959736,0.016442953020134227,0.07785234899328873,0.08926174496644308,0.038404175988068535,0.09023117076808332
"(190, 200]",0.024496644295301996,0.00604026845637584,0.008724832214765103,0.002013422818791946,0.014429530201342284,0.0025167785234899327,0.019463087248322138,0.011073825503355708,0.0016778523489932886,0.0382550335570469,0.024496644295301996,0.10738255033557063,0.026174496644295282,0.0014914243102162564,0.20842654735272204
"(200, 210]",0.0023411371237458192,0.011371237458193986,0.008026755852842812,0.016722408026755845,0.03913043478260862,0.12332775919732442,0.03578595317725746,0.010702341137123749,0.04648829431438123,0.07959866220735788,0.032775919732441414,0.15183946488294367,0.0030100334448160534,0.01189149015235972,0.14418431809736193
"(210, 220]",0.03221476510067112,0.03255033557046976,0.023154362416107358,0.033221476510067065,0.064765100671141,0.08095637583892618,0.012416107382550343,0.060067114093959664,0.031208053691275148,0.05671140939597306,0.016107382550335565,0.18389261744966495,0.07516778523489934,0.0,0.0518269947800148
"(220, 230]",0.01577181208053691,0.0174496644295302,0.10167785234899358,0.0560402684563758,0.023154362416107365,0.061241610738255035,0.008724832214765105,0.0275167785234899,0.0060402684563758404,0.027181208053691244,0.004362416107382551,0.20604026845637632,0.04161073825503346,0.042132736763609194,0.12192393736017888
"(230, 240]",0.04849498327759187,0.02107023411371237,0.06454849498327758,0.011705685618729103,0.023745819397993303,0.001254180602006689,0.0030100334448160534,0.0,0.02608695652173912,0.02240802675585282,0.03678929765886285,0.1033444816053512,0.1541806020066889,0.0,0.0650315867707171
"(240, 250]",0.1348993288590606,0.0,0.03489932885906034,0.0,0.06174496644295304,0.007969798657718121,0.0006711409395973155,0.0010067114093959733,0.0026845637583892616,0.09463087248322159,0.08489932885906047,0.09395973154362444,0.056375838926174454,0.0007457121551081282,0.03355704697986573
"(250, 260]",0.08758389261744978,0.0,0.024414715719063514,0.0030100334448160534,0.024749163879598638,0.030936454849498328,0.0026755852842809363,0.005685618729096991,0.008026755852842814,0.030100334448160494,0.15886287625418097,0.08327759197324422,0.09230769230769255,0.0007432181345224823,0.06874767744332945
"(260, 270]",0.03859060402684557,0.003355704697986577,0.06208053691275163,0.018120805369127514,0.02013422818791946,0.011325503355704697,0.00939597315436242,0.0,0.053020134228187826,0.0151006711409396,0.06040268456375835,0.09295302013422838,0.09161073825503378,0.0011185682326621924,0.10290827740492145
